T1,Level Designator ii,Depth (in meters)
DGHJPQXY,99,height/1000hPa,1000 hPa
DGHJPQXY,98,height/priority,Air priorities for the Earth's surface
DGHJPQXY,97,height/troposophere,Level of the tropopause
DGHJPQXY,96,height/maxwind,Level of maximum wind
DGHJPQXY,95,height,950 hPa
DGHJPQXY,94,height/0degC,Level of 0 Degrees C isotherm
DGHJPQXY,93,height/0975hPa,975 hPa
DGHJPQXY,92,height/0925hPa,925 hPa
DGHJPQXY,91,height/0875hPa,875 hPa
DGHJPQXY,90,height/0875hPa,900 hPa
DGHJPQXY,89,height/0875hPa,Any parameter reduced to sea level (eg MSLP)
DGHJPQXY,88,Groundwater properties for the Earth's surface (ie snow coverwave and swell)
DGHJPQXY,87,height/0875hPa,1000-500 hPa thickness
DGHJPQXY,86,height/0875hPa,Boundary level
DGHJPQXY,85,height/0850hPa,850 hPa
DGHJPQXY,84,height/0840hPa,840 hPa
DGHJPQXY,83,height/0830hPa,830 hPa
DGHJPQXY,82,height/0825hPa,825 hPa
DGHJPQXY,81,height/0810hPa,810 hPa
DGHJPQXY,80,height/0800hPa,800 hPa
DGHJPQXY,79,height/0790hPa,790 hPa
DGHJPQXY,78,height/0780hPa,780 hPa
DGHJPQXY,77,height/0775hPa,775 hPa
DGHJPQXY,76,height/0760hPa,760 hPa
DGHJPQXY,75,height/0750hPa,750 hPa
DGHJPQXY,74,height/0740hPa,740 hPa
DGHJPQXY,73,height/0730hPa,730 hPa
DGHJPQXY,72,height/0725hPa,725 hPa
DGHJPQXY,71,height/0710hPa,710 hPa
DGHJPQXY,70,height/0700hPa,700 hPa
DGHJPQXY,69,height/0690hPa,690 hPa
DGHJPQXY,68,height/0680hPa,680 hPa
DGHJPQXY,67,height/0675hPa,675 hPa
DGHJPQXY,66,height/0660hPa,660 hPa
DGHJPQXY,65,height/0650hPa,650 hPa
DGHJPQXY,64,height/0640hPa,640 hPa
DGHJPQXY,63,height/0630hPa,630 hPa
DGHJPQXY,62,height/0625hPa,625 hPa
DGHJPQXY,61,height/0610hPa,610 hPa
DGHJPQXY,60,height/0600hPa,600 hPa
DGHJPQXY,59,height/0590hPa,590 hPa
DGHJPQXY,58,height/0580hPa,580 hPa
DGHJPQXY,57,height/0570hPa,570 hPa
DGHJPQXY,56,height/0560hPa,560 hPa
DGHJPQXY,55,height/0550hPa,550 hPa
DGHJPQXY,54,height/0540hPa,540 hPa
DGHJPQXY,53,height/0530hPa,530 hPa
DGHJPQXY,52,height/0520hPa,520 hPa
DGHJPQXY,51,height/0510hPa,510 hPa
DGHJPQXY,50,height/0500hPa,500 hPa
DGHJPQXY,49,height/0490hPa,490 hPa
DGHJPQXY,48,height/0480hPa,480 hPa
DGHJPQXY,47,height/0470hPa,470 hPa
DGHJPQXY,46,height/0460hPa,460 hPa
DGHJPQXY,45,height/0450hPa,450 hPa
DGHJPQXY,44,height/0440hPa,440 hPa
DGHJPQXY,43,height/0430hPa,430 hPa
DGHJPQXY,42,height/0420hPa,420 hPa
DGHJPQXY,41,height/0410hPa,410 hPa
DGHJPQXY,40,height/0400hPa,400 hPa
DGHJPQXY,39,height/0390hPa,390 hPa
DGHJPQXY,38,height/0380hPa,380 hPa
DGHJPQXY,37,height/0370hPa,370 hPa
DGHJPQXY,36,height/0360hPa,360 hPa
DGHJPQXY,35,height/0350hPa,350 hPa
DGHJPQXY,34,height/0340hPa,340 hPa
DGHJPQXY,33,height/0330hPa,330 hPa
DGHJPQXY,32,height/0320hPa,320 hPa
DGHJPQXY,31,height/0310hPa,310 hPa
DGHJPQXY,30,height/0300hPa,300 hPa
DGHJPQXY,29,height/0290hPa,290 hPa
DGHJPQXY,28,height/0280hPa,280 hPa
DGHJPQXY,27,height/0270hPa,270 hPa
DGHJPQXY,26,height/0260hPa,260 hPa
DGHJPQXY,25,height/0250hPa,250 hPa
DGHJPQXY,24,height/0240hPa,240 hPa
DGHJPQXY,23,height/0230hPa,230 hPa
DGHJPQXY,22,height/0220hPa,220 hPa
DGHJPQXY,21,height/0210hPa,210 hPa
DGHJPQXY,20,height/0200hPa,200 hPa
DGHJPQXY,19,height/0190hPa,190 hPa
DGHJPQXY,18,height/0180hPa,180 hPa
DGHJPQXY,17,height/0170hPa,170 hPa
DGHJPQXY,16,height/0160hPa,160 hPa
DGHJPQXY,15,height/0150hPa,150 hPa
DGHJPQXY,14,height/0140hPa,140 hPa
DGHJPQXY,13,height/0130hPa,130 hPa
DGHJPQXY,12,height/0120hPa,120 hPa
DGHJPQXY,11,height/0110hPa,110 hPa
DGHJPQXY,10,height/0100hPa,100 hPa
DGHJPQXY,09,height/0090hPa,090 hPa
DGHJPQXY,08,height/0080hPa,080 hPa
DGHJPQXY,07,height/0070hPa,070 hPa
DGHJPQXY,06,height/0060hPa,060 hPa
DGHJPQXY,05,height/0050hPa,050 hPa
DGHJPQXY,04,height/0040hPa,040 hPa
DGHJPQXY,03,height/0030hPa,030 hPa
DGHJPQXY,02,height/0020hPa,020 hPa
DGHJPQXY,01,height/0010hPa,010 hPa
DGHJPQXY,00,height/all,Entire atmosphere (eg precipitable water)

